Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
Loading/Unloading of Chipper ,Impact with pedestrians or other operatives Impact with live traffic Reversing into other vehicles or plant Reversing into pedestrians or other operatives, Chipper to be reversed up ramps under guidance from a banksman and brought to a halt once level
 connecting and disconnecting towable items,Injury to personnel from impact with moving vehicles. Whip injury from snapped or whipped tow hitch., Both vehicles to be stationary with park brake applied prior to coupling
 shoveling or raking bituminous material,"Spoil falls onto driver, other personnel or pedestrians, impacted injury.",Driver to dismount and move clear when being loaded Warning beacon to be used when operating
 hand lay and use of wheelbarrows,Burns to skin from hot asphalt and asphalt fragments getting in to eyes., Gloves and safety glasses are mandatory
 - marking out/setting out,Manual Handling Bending,use proper manual handling techniques
 general surfacing operation - use of paver,Use of Paver Impact from moving paver, Isolated from the public
 shoveling or raking bituminous material,Reversing into personnel or vehicles.,"Driver to check before reversing & tipping, for pedestrians"
placing Topsoil Strip and excavating service ducts. ,"UNDERGROUND SERVICES Risk: Personal injury, death or damage to property, due to striking services (electric, fibre optic and sewage, etc).", Services in concrete will be isolated before breaking operations begin
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,Pressure injection Compressed air on kerb/slab lifters., Do not place your finger over any air leaks
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,Pressure injection Compressed air on kerb/slab lifters.,Inspect all equipment before use
Brush Cutting Prior To Ecological Survey,"Falling over, sprains, collision, trips, collision & Entrapment Slips and Trips, collision injuries access for other site users. Existing site hazards"," Be careful when walking on uneven ground, check the route for obstacles and remain vigilant"
Excavation Spoil Removal,Heavy plant & general construction activities,"Pedestrian routes/footpaths to be clearly marked, well maintained and signposted and fenced off to ensure no one can gain entrance to the construction area"
Excavation Spoil Removal,Service strike,Area to be excavated plus a two metre perimeter will be CAT scanned prior to dig commencing and continued throughout the dig
Excavation Spoil Removal,Service strike, Due to no service drawings being available then hand digging only is to be implemented
 Replacement of 90° Bends with Tee pieces and valves,"Fire, explosion, chemical burns to lungs, toxic poisoning, lung cancer, other cancers, death. Gas ingress", Atmosphere to be monitored at all times
Removal of Redundant lighting ,"Fire, explosion, chemical burns to lungs, toxic poisoning, lung cancer, other cancers, death. Gas ingress", Atmosphere to be monitored at all times
Removal/installation of pwk in food waste plant,Broken /worn Hand tools,Make sure all tools used are in acceptable condition and are clean
 Fitting pwk / brackets in the caking bunker,Falling from delta deck Working at height,When using the delta deck ensure operative has both end gates closed
Reinforced Concrete works Carrying / moving of materials,Maintenance, All operatives to be briefed on lifting techniques prior to works being carried out
using hgvs & fleet vehicles,Driving & Weather conditions, Vehicles to be parked up if any safety critical defects are identified
reinforced concrete works carrying / moving of materials,"Fire, explosion, chemical burns to lungs, toxic poisoning, lung cancer, other cancers, death. Gas ingress", manual handling will be minimised by use of automated or mechanical equipment
reinforced concrete works,"Fire, explosion, chemical burns to lungs, toxic poisoning, lung cancer, other cancers, death. Gas ingress"," project protocol to be adhered to in regards to shoring, battering etc where applicable"
Installation / removal and maintenance of traffic management,Abusive members of the public either on foot or in their vehicle.,"operatives to remain calm, helpful and informative wherever possible"
Installation / removal and maintenance of traffic management,Abusive members of the public either on foot or in their vehicle., Take a note of vehicle reg number where possible
 Nitrogen Purging of Biogas Main,"Slips, trips & falls", All trip hazards removed immediately
 hand lay and use of wheelbarrows,Manual Handling Bending Stooping Lifting wheelbarrow to discharge material, Assess gradients and distance of push when loading wheelbarrow
Removal of old fixing bolts -,"Injury to operators, other trades and bystanders Fire / Explosion, Injury from debris, Noise."," Dust masks, eye and hearing protection to be worn"
 Digester Sludge Plinths & Ducts,Collapse of excavation, Inspection register must be completed and kept upto date
Placing Concrete Digester Sludge Plinths & Ducts,Dermatitis, Keep wet concrete off skin by using rubber gloves and long sleeved protective clothing (PPE)
Excavation Tee Connection on Potable Water Main,"Slips, trips & falls",Work area to be kept clean & tidy at all times
280mm pe sdr11 rising main installation., visual inspection of pipes & fittings," valves, tees, wos, df bends, vj couplings and adaptors must be inspected for any defects to the flange face and bolt holes"
280mm pe sdr11 rising main installation., weather and winter working," during adverse weather conditions, all confined space entry shall be suspended until conditions improve"
 construction of dam and outfall, damage to aquatic life in water course. alkaline water discharge.,do not carry out concreting works if high flows are expected
 construction of dam and outfall, damage aquatic and land based flora and fauna. fuels and oils spillage.,excavator is to use bio oil for hydraulic system
280mm pe sdr11 rising main installation., silt deposits pollution release of groundwater from excavations and rainwater runoff, use filtration systems to control runoff as close to its origin as possible by slowing down flows 
contact tank & pumping station underslab pipework & ducts, falls from height / edge protection, ensure clipped together and in place at all times
manual handling activities, moving loads," check ground conditions are flat, well-maintained, avoid wet, muddy or slippery areas"
manual handling activities, weights of loads., postural requirements
lone working, falls from height,"work from inside the handrails as they are being fitted for chambers where falls from the platform are likely to cause injury, use fall arrest bags at ground level to the working area"
directional drill pit installation, operatives spillage,use plant nappies spill kits to be on hand at the job lead the machine to hardstanding to refuel where possible
contact tank & pumping station underslab pipework & ducts, slips & trips, materials will be stacked safely and securely away from the access route
directional drill pit installation, access / permits,"adhere to all permit stipulations, permit to dig etc"
 service reservoir confined space entry – asbestos survey, drowning – ingress of water,full ppe (including waterproofs) to be provided and worn
gravity sewer and rising main, highway traffic site flooding and fast flowing water excavations working at height,"this work will be under separate rams , drainage excavations within the carriageway and the pumping station are envisaged to be of mixed strata consisting of road metal , clay and rock ,earthwork support will by standard trench boxes with standard design it is possible that the rock may be of a fractured and care will have to be taken to avoid any loose material falling within the excavation in some cases the boxes will be acting as a shield only such as in the case of the pumping station "
"excavation, shutters, mesh and concrete", structural specification wrong incorrect material delivery,delivery ticket to be checked by site manager or lead hand on arrival
"excavation, shutters, mesh and concrete", rework of shutters shutters incorrect size,check footing drawing double check measurements before cutting timber
"excavation, shutters, mesh and concrete", rework or replace slab finish to top of concrete, do not deviate from this
constructing a concrete plinth to cap off storage pipe risers, working with ready mix concrete," prolonged contact with wet concrete may cause cement burns, irritant or allergic dermatitis"
constructing a concrete plinth to cap off storage pipe risers, eye injuries, keep your safety eyewear in good condition and have it replaced if it becomes damaged
winter working & driving conditions, wintery conditions, the wearing of spectacles may be relaxed when weather conditions make it difficult to see and work safely
use of cutting equipment and drills, falls from height," don’t overreach from a ladder, always move it"
280mm pe sdr11 rising main installation., excavations, trial holes shall be excavated by hand to locate buried services; mechanical methods must not proceed within 500mm of the expected service depth
280mm pe sdr11 rising main installation., excavations, permit to break ground must be issued prior to work starting
280mm pe sdr11 rising main installation., working with concrete & mortar," for deep burns or large affected skin areas, seek medical attention immediately"
constructing a concrete plinth to cap off storage pipe risers, pollution/damage to ecological features and inhabitants due to use of hazardous substances, all persons shall follow control measures contained within ra/ms
call out procedure for temporary treatment plant, working at height (tank inspections and cleaning), do not work off ladders to carry out maintenance on tanks
constructing a concrete plinth to cap off storage pipe risers, noise/air pollution disturbance to neighbours air/noise/fumes, turn exhausts away from neighbours
digging trial holes for connection points,"leaking hydraulic, engine oil, petrol", small tools to be fuelled on a plant nappy
laying slabs to form footpaths, adverse weather and flow conditions (increased risk of flooding & drowning), abandon work immediately if weather or flow conditions become unsafe
Office provisions / facilities — working in an office,Possible contamination of surfaces/areas & other people, Change all clothing daily
civil works in new compound, working at height, edge protection to be provided where necessary
structural steel frame condition survey, weather conditions,cherry picker to only be used when hazardous winds and weather conditions are not present weather forecast is to be checked before cherry picker is used to avoid dangerous conditions arising during use
Office personnel reporting diagnosis of the virus or suffering symptoms,Person may have Covid 19," If you live with others and you or one of them have symptoms of coronavirus, then all household members must stay at home and not leave the house for 14 days"
Personnel returning from abroad who may have contracted / been exposed to virus,Person may have Covid 19, The 14-day period starts from the day when the first person in the house became ill
gas check area entry, noise," if possible, move the noise source away from the work area or move the work area away from the noise"
installation of new outfall, loss of service damage to services,"ms/ra, training, and on site safety procedures to be followed at all times"
removal of dwarf wall, buried services cable strike risk of electrocution damage to existing services,safety procedures to be followed insulated tools and flame retardant overalls to be used and worn permit to dig in place prior to breaking ground sand to be used in backfill around services
digging trial holes, excavation fencing and site signage, no excavation over 1 metre will be left open overnight unless it has been benched or graded to site safety procedures standards or designed support system installed
Cutting of pipework ,Noise pollution,"Operatives will wear ear defenders and carry out periodical noise monitoring, exclusion zones implemented if action limits of 85db are reached"
Placing Concrete ,"Dermatitis, eye, skin and respiratory tract irritation from exposure to cement dust",Ensure low energy impact glasses are worn
raising/ lowering service/gully covers and frames," injury from manual handling, bending and kneeling during lifting covers, frames, lifting bags , water containers and old masonry ", use mechanical means of lifting where possible always use correct lifting technique
 working at night,"Fatigue ,restlessness","Sufficient breaks during shift, Don't drink alcohol before coming on shift"
 Test lift of walkway hatch,Operatives exposed to Weils disease and other diseases due to contact with sewage Contact with sewage,"Good level of hygiene, CoSHH on sewage briefed, gloves worn and hands washed before eating and smoking"
 site set-up," site hazards to operational personnel from plant, equipment, substances, materials and site facilities (construction activities)", out of hours: welfare cabins and 21ft stores to be locked out of hours secure hazardous substances – on trip tray in the store ensure all material stockpiles are stable and secure
 Gas Bag Area,"slip, fall"," Loads must not be slewed over personnel, vehicles or buildings etc"
use of cutting equipment and drills, pollution/damage to ecological features and inhabitants due to use of hazardous substances,coshh assessments for each substance on the register shall be maintained in the site file
contact tank & pumping station underslab pipework & ducts, slips & trips," good quality safety footwear maintained in good condition foot protection, provide toe cap, mid sole protection and ankle support"
 removal of palisade fencing , operated plant, daily checks to be carried out before start of shift
constructing a concrete plinth to cap off storage pipe risers, workability must be carefully controlled to ensure that proper compaction + finishing can be achieved concrete consistency, take test cubes 
temporary platform construction, adverse weather and flow conditions (increased risk of flooding & drowning), issue high rainfall alerts to site team
 pipe laying, excavation collapse, works to stop and rams will be amended if we require shoring nobody to enter excavation until it is complete or safe to do so nobody to be in excavation when pipe getting lifted in monitor excavation constantly check excavation after changes in weather
site traffic & delivery plan, access and egress to/from public highway,entrance set up with visibility clear signage in advance of site signage erected to ensure no construction traffic goes beyond site signage erected to ensure all vehicles turn correctly upon leaving site
white lining,temporary storage materials striking a train,wherever possible remove all materials and equipment from site at the end of each shift
installation of concrete base.,Encountering Damaged Cables, Notification to the utility service if the service is seen to be suspect
installation of concrete base.,Excavation, Exclusion zone
removal of spoil,refuelling plant,emergency spillage cleanup companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled
removal of spoil,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor that you can use it
removal of spoil via rrv,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
installation of ducts and chambers,plant vehicle movements,close all access gates following deliveries
reduced level dig,staff being struck by a train or otm,works on station platforms in high street environment controlled by site keeper or barriers
reduced level dig,buried services,select power tools with lowest vibration levels
reduced level dig,syringes sharps,take note of the location and inform sco 
brickwork repairs,syringes sharps, exclusion zone to be established around the sharps
reduced level dig,refuelling plant,cleaning kits to be available at all times
rrv platform demolition,public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances
rrv platform demolition,refuelling plant,coshh data sheets to be available on site and briefed to operatives working with hazardous materials
rrv platform demolition,buried services,records to be kept of utilities found on site and new services installed on site
compound establishment,buried services,permit to break ground process completed by site agent or buried services coordinator no mechanical tools or machines within mm of buried services
installation of land drain,manual handling,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads
whitelining,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
installation of land drain,staff being struck by a train or otm,careful planning of work
installation of land drain,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
installation of land drain,contamination,contact with contaminated locations identified in the hazard directory to be avoided
installation of acos,buried services,permit to break ground to be completed by site agent or buried services coordinator no mechanical tools within m of services
installation of acos,refuelling plant,appropriate ppe to be worn refuelling of plant is to be undertaken away from the work area
installation of fence posts,temporary storage materials striking a train,store materials in secure locked containers wherever possible
installation of fence posts,lifting operations,display warning signs
installation of acos,contamination,eating only permitted in vehicles after hand cleansing
stone trim and compaction,plant movement,exclusion zone banksman qualified operator plant daily inspection check sheet
materials relocation work.,staff being struck by a train or otm,operatives briefed by the coss on the safe system of work
stone trim and compaction,encountering damaged cables,remote visual inspection to determine damage to cables before inspection measurement
stone trim and compaction,encountering damaged cables,notification to the utility service if the service is seen to be suspect
stone trim and compaction,working at height,permit to work at height in place
installation of tactiles,temporary storage materials striking a train,do not stack palletised materials in case they become unstable
muck away,staff being struck by a train or otm,pts trained workforce and supervision
muck away,refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times
muck away,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
muck away,contamination,contact with contaminated locations identified in the hazard directory to be avoided
installation of containment,plant equipment loading damages new and existing platform construction,compaction plant limitations to comply with the restrictions stated on the approved permanent works design
installation of containment,dust,install screen close around the working area
installation of containment,dust,respiratory protective equipment
installation of temporary works,temporary storage materials striking a train,employ site security personnel site access controllers where appropriate
installation of temporary works,working at height,work at height kept to a minimum with other options considered beforehand
installation of fencing,public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances
installation of cables,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
delivery of materials via telehandler,coronavirus covid ,"social distancing always ,two metre distance"
delivery of materials via telehandler,lifting operations,area cordoned off permit to lift to be issued and briefed all lifting equipment and accessories to be checked against safe working loads swl control weather condition trained and competent operatives
installation of cables,havs, ensure tools are properly stored
installation of cables,interface with members of the public,site keeper on site
installation of lighting columns,encountering damaged cables,notification to the utility service if the service is seen to be suspect
brickwork repairs,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor coss that you can use it
material delivery and muck away within compound,manual handling,split loads into manageable lifts two man lifts if required
material delivery and muck away within compound,coronavirus covid ,briefings to be signed by the person giving the brief operatives receiving briefings to give authority for name to be placed onto the signing on area one person per car person per pick up excellent hygiene all operatives to be briefed on the covid project continuity plan
delivery of materials via highways,excavation,barriers to be installed at safe distance from top of excavations to maintain exclusion zone
delivery of materials via highways,buried services, use of curotec system to monitor exposure levels
delivery of materials via highways,excavation, a temporary works assessment to be carried out in advance and if required twd to be implemented
delivery of materials via rrv,staff being struck by a train or otm,pos representation system of work and ensure clear understanding of responsibilities
delivery of materials via highways,staff being struck by a train or otm,works on station platforms in high street environment controlled by site keeper or barriers
tarmac installation,discarded sharps.,notify the site supervisor who will arrange for the sharps to be removed by a trained and competent person nr sharps team via sco or trained construction manager
plant mobilisation.,refuelling plant,emergency spillage cleanup companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled
plant mobilisation.,contamination,contact with contaminated locations identified in the hazard directory to be avoided
plant mobilisation.,syringes sharps,operatives to be briefed on the presence of the sharps
plant mobilisation.,contamination,gloves to be worn at all times
plant mobilisation.,staff being struck by a train or otm,operatives briefed by the coss on the safe system of work
installation of containment,syringes / sharps,all staff to remain vigilant and if encountered vacate the area
installation of containment,encountering damaged cables," avoidance of cables where practicable, otherwise work only under safe conditions determined by competent personnel on site "
installation of containment,use of power tools, temporary electrical repairs not permitted
stoning up,manual handling,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads
electrical terminations testing,havs,ensure there is room for the task and adopt a comfortable stance
stoning up,public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances
electrical terminations testing,interface with members of the public,ensure no tools or plant are left unattended
stoning up,encountering damaged cables,notification to the utility service if the service is seen to be suspect
electrical terminations testing,interface with members of the public,use secure storage containers
stoning up,syringes sharps,do not disturb if encountered
excavation works including removal of copers.,excavation,establish safe access and egress
satellite compound works,Manual handling,Split loads into manageable lifts - 2 man lifts if required
ducting works.,contamination,contact with contaminated locations identified in the hazard directory to be avoided
ducting works.,loading platform with plant and materials.,plant must stay within exclusion zones
ducting works.,working near ohle,operatives to be pts ac trained
ducting works.,public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances
ducting works.,working on or near the line,support staff will set up the ssow in accordance with site procedures. task leader setting up a safe system of work within a possession be aware of the operational railway
brickworks repair.,buried services,mark up and support if necessary
brickworks repair and white lining.,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
brickworks repair.,coshh,exposure times as per coshh assessment states
brickworks repair.,buried services, avoid continuous exposure
brickworks repair.,working on or near the line,support staff will set up the ssow in accordance with onsite procedures . task leader setting up a safe system of work within a possession be aware of the operational railway
brickworks repair and white lining.,refuelling plant,coshh data sheets to be available on site and briefed to operatives working with hazardous materials
brickworks repair and white lining.,staff being struck by a train or otm,pts trained workforce and supervision
bagging up soil.,loading platform with plant and materials.,materials must be stored 
excavation works.,buried services,records to be kept of utilities found on site and new services installed on site
excavation works.,hazard substance.,"use under technical and manufactures specifications wear correct ppe overalls, concrete gloves, safety googles, dust mask, ensure that hazard substances are put back into a secure location after use."
installation of copers,loading platform with plant and materials.,plant must stay within exclusion zones
installation of copers,staff being struck by train or otp,pos representation system of work and ensure clear understanding of responsibilities
installation of copers,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
installation of copers,lift operation.,slinger/crane controller
installation of copers,plant movement.,adequate communication between plant ops and banksman
installation of copers and tactiles,lift operation.,certificates thorough examination to be in date
installation of concrete edgings.,staff being struck by train or otp,careful planning of work
installation of tarmac band joint.,manual handling,split loads into manageable lifts 2 man lifts if required
tarmac works.,plant movement,traffic management banksman traffic marshal exclusion zone barriers
completion works.,buried services,permit to break the ground
de-veg works in compound,coshh,exposure times as per coshh assessment states
de-veg works in compound,working on or near the line,inexperienced staff will be accompanied by a mentor
de-veg works in compound,buried services,permit to break ground process completed by site agent or buried services co-ordinator no mechanical tools or machines within 500mm of buried services
de-veg works in compound,working on or near the line,inexperienced staff will be accompanied by a mentor
compound establishment,manual handling,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads
satellite compound elas,Lifting Operations,Display warning signs
compound establishment,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it
compound establishment,buried services," ensure tools are properly stored, maintained and used according to manufacturers instructions"
rrv platform demolition,coshh,ppe to be worn as recommended by coshh assessment
rrv platform demolition,staff being struck by a train or otm,works on station platforms in high street environment controlled by site keeper or barriers
rrv platform demolition,plant vehicle movements,close all access gates following deliveries
brickwork repairs,encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement
reduced level dig,buried services,select power tools with lowest vibration levels
reduced level dig,buried services, avoid continuous exposure
removal of spoil via rrv,hazard substance.,trained and experienced operatives coshh certs to be in place and operatives briefed
removal of spoil via rrv,staff being struck by a train or otm,ensure safe system of work ssow in place applicable to the task activity
removal of spoil,working on or near the line,inexperienced staff will be accompanied by a mentor
removal of spoil,noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a ped-roller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use
removal of spoil,coshh,exposure times as per coshh assessment states
compound works,buried services," avoid continuous exposure, take rest periods and rotate staff using the equipment "
removal of spoil via rrv,manual handling,split loads into manageable lifts 2 man lifts if required
removal of spoil via rrv,live ohle,works on station platforms controlled by site keeper or barriers to prevent encroaching 
stoning up,working near ohle,no works will encroach
 compound maintenance works, public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances 
 platform gauge survey, staff being struck by a train or otm, operatives briefed by the coss on the safe system of work 
 platform gauge survey, syringes / sharps, all staff to remain vigilant and if encountered vacate the area 
 completion works, working on or near the open line. interface, operatives briefed by the coss on the safe system of work
 completion works, working at height., exclusion zone possession permit working at height
installation of ducts and chambers,coshh,coshh assessments to be completed for all products on site
stone trim and compaction,coshh,coshh assessments to be completed for all products on site
 installation of tactiles, syringes / sharps, take note of the location and inform sco 24:7 
 installation of tactiles, encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement 
 installation of tactiles, syringes / sharps, take note of the location and inform sco 24:7 
 excavation and backfilling works., working on or near the line, inexperienced staff will be accompanied by a mentor 
 installation of stick-on tactiles," injury from use of powered tools, plant and work equipment  havs, noise, dust / debris, fuel fire / spills, personal injury.",only to be used by persons trained and certified keep hands warm and regular rotation of operatives to share havs exposure trigger time to be pre-calculated and individuals times to be clearly monitored by the site supervisor/team leader above 85db ear protection is mandatory 
 installation of tactiles, mobile telephones,mobile telephones to be switched off unless required for safety critical management duties 
 installation of tactiles, coshh," use under technical and manufactures specifications; wear correct ppe: overalls, concrete gloves, safety goggles, dust mask; ensure that hazards substance are put back into a secure location after use "
 installation of tactiles, manual handling,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads 
 installation of tarmac strip, coshh," use under technical and manufactures specifications; wear correct ppe: overalls, concrete gloves, safety goggles, dust mask; ensure that hazards substance are put back into a secure location after use "
 delivery of plant and materials., staff being struck by a train or otm, pos representation system of work and ensure clear understanding of responsibilities 
 delivery of plant and materials., staff being struck by a train or otm, careful planning of work 
 delivery of plant and materials., working at height, all delivery wagons to have guardrails fitted when access is required onto the back of the wagon working at height only by necessary persons 
 delivery of plant and materials., encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement 
 delivery of plant and materials., public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances 
 delivery of plant and materials., buried services," ensure tools are properly stored, maintained and used according to manufacturers instructions "
 delivery of plant and materials., buried services, records to be kept of utilities found on site and new services installed on site 
 delivery of plant and materials., buried services, select power tools with lowest vibration levels 
Office personnel reporting diagnosis of the virus or suffering symptoms,Person may have Covid 19,If anyone on the site/ office starts to show any symptoms remove the individuals from that site/ office immediately and notify HR and their line manager Person with new continuous cough and or high temperature to self-isolate and stay indoors at home and avoid contact with other people immediately as per current government advice
use of chipper,Entanglement with moving chipper parts,Operatives must not take chippings from hopper - only from local stockpile
ducting works.,working near ohle,materials/equipment handled below shoulder height and carried horizontally at waist height
 excavation works, contact with buried services,copies of service records available on site before excavation commences operatives to be suitably trained and competent proposed excavation area to be cat scanned prior to excavation a permit to dig system shall be implemented where services cross or are within 3m of the footprint existing live services – hand dig methods will be used 
installation of ducts and chambers,encountering damaged cables,remote visual inspection to determine damage to cables before inspection measurement
ducting including draw pits," slips, trips, falls",areas to be kept clear and tidy uneven ground to be maintained any trip hazards to be removed all shallow excavations with steps to be marked and fenced off access / egress of machines to maintain 3 points of contact operatives to pull machines up to flat / even ground before dismounting
"excavation, shutters, mesh and concrete", injuries from splinters when handling timber,use general handling gloves 
installation of ducts and chambers,noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a pedroller to compact tarmac stone and other manual tools over mechanical vehicles to have engines switched off when not in use
installation of tarmac band joint.,coshh,do not leave coshh with medium risk unattended
brickwork repairs,coshh,do not leave coshh with medium risk unattended
280mm pe sdr11 rising main installation.," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances"," all persons shall only use fire, first aid and spill clean up equipment if they are competent to do so"
 installing Digester Sludge Plinths & Ducts,Injury to personnel , A banksman is to be used where driver’s vision is impaired or operating in congested areas
site establishment ," offloading cabin units, generator and materials – lifting operations"," compound/storage areas to be prepared in advance of deliveries using imported hardcore placed on geotextile membrane or suitable bearing details for cabin feet, eg concrete slabs areas to be suitably fenced off"
 hgvs & fleet vehicles,"Collisions, accidents", Ensure that the car in front at junctions and roundabouts has moved off before commencing your manoeuver
 hgvs & fleet vehicles,Work load on site,Avoid driving at the end of a long days' work wherever possible
installation of back of platform fence posts and pin kerbs,excavation,inspections of all excavations to be carried out at the start of every shift and after inclement weather
installation of back of platform fence posts and pin kerbs,staff being struck by a train or otm,coss appointed for works on or near the line
white lining,temporary storage materials striking a train,wherever possible remove all materials and equipment from site at the end of each shift
muck away from satellite compounds,coshh,coshh to be stored in coshh approved area storage containers
white lining,syringes sharps,all staff to remain vigilant and if encountered vacate the area
removal of spoil via rrv,coshh,coshh to be stored in coshh approved area storage containers
satellite compound elas,OHLE, Non metallic surveying equipment to be used where possible
temporary platform construction," hand tools (cuts, abrasions, minor injuries)", cut proof gloves to be worn when using knives
laying slabs to form footpaths, weather and ground conditions,daily assessment of ground conditions
constructing a concrete plinth to cap off storage pipe risers, concrete strength and surface finishes compaction of concrete,operatives to ensure concrete is pokered adequately
winter working & driving conditions, before you start your journey," carry a scraper, de-icer, shovel, tow rope, torch, wellingtons and first aid kit in the vehicle"
civil works in new compound, severe damage fire to local vegetation, no smoking allowed on site except within designated smoking area
civil works in new compound, coshh, assessments will be available in the site offices and stores
winter working & driving conditions, wintery conditions, consider localised flooding
hand dug trial holes to locate services, contamination of the existing watercourses fuel spillage,fuel storage tanks either to be self-bunded refuelling undertaken within site compound only and no less than 10m away from watercourses
hand dug trial holes to locate services, collapse of trial hole excavation., to be determined on site by lead hand / site manager as work progresses
dust suppression for bulk earthworks, contamination of the existing watercourses fuel spillage,"fuel storage tanks either to be self-bunded refuelling undertaken on a plant nappy or drip tray spill kits available, inspected regularly and maintained in good working order spill kit drill to be undertaken within 2 weeks of site setup"
installation of sheet piles, contact with buried services cable strike risk of electrocution damage to existing services, minimum 600mm deep x 600mm wide trench to be excavated along line of piles prior to works commencing - this is to be done by safe digging techniques; hand and / or vacuum excavator
service trial holes, working next to existing structures undermining of structure damage to structure collapse of structure,5m deep excavation to be carried out by hand or vac ex only 
service trial holes, adverse weather conditions,"daily assessment of ground conditions, weather forecast to be briefed branches"
pipework installation and grading work, cut or trap fingers using hydraulic torque and/or impact wrench, only competent/trained operatives to use equipment
pipework installation and grading work, local landscape petroleum products and refuelling operations, smoking permitted in designated areas only
pipework installation and grading work, eye injuries,wear the correct eye protection for the task in hand
breakout 600mm pipe and bench up, contamination of surface water / water courses / treatment works fuel spillages, tanks / bowser to be inspected daily for leaks and damage
"concreting, reinstatement & footpath construction", overhead & underground services,initial site visit and review of service drawings to ascertain whether restrictions are present consultation with statutory authorities where possible cat scan of work areas / trial hole and protection work as required
installation of new outfall," trip, slips and falls",good housekeeping to be maintained at all time rutted and uneven surfaces are to be levelled out and compacted all tools and materials to be kept tidy
site establishment , use of hand tools,use correct tool for the task check them daily for damage or excessive wear do not use if not in good condition replace them powered tools must be pat tested wear the correct gloves for the task
regrade embankment & lower existing mh, coshh, gas oil stored in double bunded tanks
over pumping of existing 300mm & 225mm pipe, coshh, ppe worn at all times
site clearance & reduced dig – caustic area, manual handling," where possible operatives to warm up prior to starting the lift operative shall only lift what they feel is acceptable, for excessive loads, assistance should be sought"
site clearance & reduced dig – caustic area, site traffic & pedestrian routes, 10 mph speed limit to be maintained onsite
laying 80mm ductile and valving, site traffic & pedestrian routes, parking areas at the roundabout location will be restricted this will become a no parking zone when restricting the carriageway
civil modifications at existing chemical dosing shower position, access and egress for emergence vehicles,deliveries to be ordered with set dates and times to reduce the risk of blocking up of the access
laying 80mm ductile and valving, loss of customer supply contamination of main, all open ended pipes are to be covered over and sealed
general lifting of equipment, serious injuries manual handling, use manual handling techniques
lifting into position of overhead gantry crane , Serious injury from coming into contact with plant and vehicles, ensure safe distance is maintained from operating plant and vehicles
lifting into position of overhead gantry crane , incorrect manual handling leading to back pain and or back injury.,"persons involved in works trained in manual handling procedures, and undertake trained methodology"
inspection for mechanical completion & oil change , fuel oil spillage from plant / crane.,"use spill kits provided, ensure disposal is in line with relevant msds, and in correct packing ready for specialist disposal"
working at night," slips, trips and falls", do not jump down from the machine or the last step
Placing wet concrete , Dermatitis, Any contact with skin should be washed thoroughly with tap water
